Тип помощи	Категория	Месяц	Год	Количество
Медицинские сёстры	Визиты	9	2017	45
Медицинские сёстры	Визиты	10	2017	9
Медицинские сёстры	Визиты	11	2017	24
Медицинские сёстры	Визиты	12	2017	34
Медицинские сёстры	Визиты	1	2018	71
Медицинские сёстры	Визиты	2	2018	55
Медицинские сёстры	Визиты	3	2018	62
Медицинские сёстры	Визиты	4	2018	75
Медицинские сёстры	Визиты	5	2018	66
Медицинские сёстры	Визиты	6	2018	67
Медицинские сёстры	Визиты	7	2018	53
Патронажная сестра	Визиты	7	2017	11
Патронажная сестра	Визиты	8	2017	17
Патронажная сестра	Визиты	9	2017	23
Патронажная сестра	Визиты	10	2017	15
Патронажная сестра	Визиты	11	2017	20
Патронажная сестра	Визиты	12	2017	11
Патронажная сестра	Визиты	1	2018	5
Патронажная сестра	Визиты	2	2018	11
Патронажная сестра	Визиты	3	2018	13
Патронажная сестра	Визиты	4	2018	10
Патронажная сестра	Визиты	5	2018	14
Патронажная сестра	Визиты	6	2018	15
Патронажная сестра	Визиты	7	2018	10
Координаторы	Визиты	7	2017	3
Координаторы	Визиты	8	2017	5
Координаторы	Визиты	9	2017	9
Координаторы	Визиты	10	2017	8
Координаторы	Визиты	11	2017	10
Координаторы	Визиты	12	2017	9
Координаторы	Визиты	1	2018	46
Координаторы	Визиты	2	2018	5
Координаторы	Визиты	3	2018	14
Координаторы	Визиты	4	2018	37
Координаторы	Визиты	5	2018	4
Координаторы	Визиты	6	2018	2
Координаторы	Визиты	7	2018	5
Социальный работник	Визиты	7	2017	
Социальный работник	Визиты	8	2017	
Социальный работник	Визиты	9	2017	12
Социальный работник	Визиты	10	2017	9
Социальный работник	Визиты	11	2017	9
Социальный работник	Визиты	12	2017	7
Социальный работник	Визиты	1	2018	10
Социальный работник	Визиты	2	2018	7
Социальный работник	Визиты	3	2018	10
Социальный работник	Визиты	4	2018	12
Социальный работник	Визиты	5	2018	13
Социальный работник	Визиты	6	2018	2
Социальный работник	Визиты	7	2018	
Психолог	Визиты	7	2017	
Психолог	Визиты	8	2017	10
Психолог	Визиты	9	2017	1
Психолог	Визиты	10	2017	4
Психолог	Визиты	11	2017	
Психолог	Визиты	12	2017	
Психолог	Визиты	1	2018	
Психолог	Визиты	2	2018	
Психолог	Визиты	3	2018	
Психолог	Визиты	4	2018	
Психолог	Визиты	5	2018	
Психолог	Визиты	6	2018	
Психолог	Визиты	7	2018	1
Эрготерапевт	Визиты	7	2017	
Эрготерапевт	Визиты	8	2017	
Эрготерапевт	Визиты	9	2017	
Эрготерапевт	Визиты	10	2017	
Эрготерапевт	Визиты	11	2017	
Эрготерапевт	Визиты	12	2017	
Эрготерапевт	Визиты	1	2018	
Эрготерапевт	Визиты	2	2018	
Эрготерапевт	Визиты	3	2018	
Эрготерапевт	Визиты	4	2018	
Эрготерапевт	Визиты	5	2018	
Эрготерапевт	Визиты	6	2018	9
Эрготерапевт	Визиты	7	2018	8
Музыкальные терапевты	Визиты	7	2017	
Музыкальные терапевты	Визиты	8	2017	
Музыкальные терапевты	Визиты	9	2017	
Музыкальные терапевты	Визиты	10	2017	2
Музыкальные терапевты	Визиты	11	2017	10
Музыкальные терапевты	Визиты	12	2017	9
Музыкальные терапевты	Визиты	1	2018	8
Музыкальные терапевты	Визиты	2	2018	7
Музыкальные терапевты	Визиты	3	2018	9
Музыкальные терапевты	Визиты	4	2018	12
Музыкальные терапевты	Визиты	5	2018	12
Музыкальные терапевты	Визиты	6	2018	9
Музыкальные терапевты	Визиты	7	2018	10
Творческие волонтёры	Визиты	7	2017	4
Творческие волонтёры	Визиты	8	2017	3
Творческие волонтёры	Визиты	9	2017	4
Творческие волонтёры	Визиты	10	2017	9
Творческие волонтёры	Визиты	11	2017	5
Творческие волонтёры	Визиты	12	2017	2
Творческие волонтёры	Визиты	1	2018	
Творческие волонтёры	Визиты	2	2018	2
Творческие волонтёры	Визиты	3	2018	3
Творческие волонтёры	Визиты	4	2018	1
Творческие волонтёры	Визиты	5	2018	3
Творческие волонтёры	Визиты	6	2018	5
Творческие волонтёры	Визиты	7	2018	3
Невролог	Ответы на письма	7	2017	5
Невролог	Ответы на письма	8	2017	12
Невролог	Ответы на письма	9	2017	15
Невролог	Ответы на письма	10	2017	11
Невролог	Ответы на письма	11	2017	16
Невролог	Ответы на письма	12	2017	7
Невролог	Ответы на письма	1	2018	20
Невролог	Ответы на письма	2	2018	22
Невролог	Ответы на письма	3	2018	27
Невролог	Ответы на письма	4	2018	27
Невролог	Ответы на письма	5	2018	19
Невролог	Ответы на письма	6	2018	16
Невролог	Ответы на письма	7	2018	19
Реаниматолог	Ответы на письма	7	2017	
Реаниматолог	Ответы на письма	8	2017	
Реаниматолог	Ответы на письма	9	2017	
Реаниматолог	Ответы на письма	10	2017	
Реаниматолог	Ответы на письма	11	2017	
Реаниматолог	Ответы на письма	12	2017	
Реаниматолог	Ответы на письма	1	2018	
Реаниматолог	Ответы на письма	2	2018	
Реаниматолог	Ответы на письма	3	2018	
Реаниматолог	Ответы на письма	4	2018	
Реаниматолог	Ответы на письма	5	2018	
Реаниматолог	Ответы на письма	6	2018	
Реаниматолог	Ответы на письма	7	2018	1
Специалист по респираторной поддержке	Ответы на письма	7	2017	2
Специалист по респираторной поддержке	Ответы на письма	8	2017	7
Специалист по респираторной поддержке	Ответы на письма	9	2017	
Специалист по респираторной поддержке	Ответы на письма	10	2017	2
Специалист по респираторной поддержке	Ответы на письма	11	2017	
Специалист по респираторной поддержке	Ответы на письма	12	2017	2
Специалист по респираторной поддержке	Ответы на письма	1	2018	3
Специалист по респираторной поддержке	Ответы на письма	2	2018	9
Специалист по респираторной поддержке	Ответы на письма	3	2018	16
Специалист по респираторной поддержке	Ответы на письма	4	2018	12
Специалист по респираторной поддержке	Ответы на письма	5	2018	7
Специалист по респираторной поддержке	Ответы на письма	6	2018	1
Специалист по респираторной поддержке	Ответы на письма	7	2018	1
Специалист по питанию	Ответы на письма	7	2017	3
Специалист по питанию	Ответы на письма	8	2017	17
Специалист по питанию	Ответы на письма	9	2017	6
Специалист по питанию	Ответы на письма	10	2017	9
Специалист по питанию	Ответы на письма	11	2017	
Специалист по питанию	Ответы на письма	12	2017	14
Специалист по питанию	Ответы на письма	1	2018	15
Специалист по питанию	Ответы на письма	2	2018	23
Специалист по питанию	Ответы на письма	3	2018	21
Специалист по питанию	Ответы на письма	4	2018	22
Специалист по питанию	Ответы на письма	5	2018	15
Специалист по питанию	Ответы на письма	6	2018	15
Специалист по питанию	Ответы на письма	7	2018	23
Координатор по регионам	Ответы на письма	7	2017	58
Координатор по регионам	Ответы на письма	8	2017	91
Координатор по регионам	Ответы на письма	9	2017	104
Координатор по регионам	Ответы на письма	10	2017	145
Координатор по регионам	Ответы на письма	11	2017	195
Координатор по регионам	Ответы на письма	12	2017	203
Координатор по регионам	Ответы на письма	1	2018	187
Координатор по регионам	Ответы на письма	2	2018	190
Координатор по регионам	Ответы на письма	3	2018	193
Координатор по регионам	Ответы на письма	4	2018	196
Координатор по регионам	Ответы на письма	5	2018	184
Координатор по регионам	Ответы на письма	6	2018	142
Координатор по регионам	Ответы на письма	7	2018	
Координатор по Москве и МО	Ответы на письма	7	2017	64
Координатор по Москве и МО	Ответы на письма	8	2017	161
Координатор по Москве и МО	Ответы на письма	9	2017	111
Координатор по Москве и МО	Ответы на письма	10	2017	162
Координатор по Москве и МО	Ответы на письма	11	2017	229
Координатор по Москве и МО	Ответы на письма	12	2017	265
Координатор по Москве и МО	Ответы на письма	1	2018	244
Координатор по Москве и МО	Ответы на письма	2	2018	217
Координатор по Москве и МО	Ответы на письма	3	2018	195
Координатор по Москве и МО	Ответы на письма	4	2018	201
Координатор по Москве и МО	Ответы на письма	5	2018	178
Координатор по Москве и МО	Ответы на письма	6	2018	167
Координатор по Москве и МО	Ответы на письма	7	2018	
Социальный работник	Ответы на письма	7	2017	31
Социальный работник	Ответы на письма	8	2017	7
Социальный работник	Ответы на письма	9	2017	7
Социальный работник	Ответы на письма	10	2017	5
Социальный работник	Ответы на письма	11	2017	3
Социальный работник	Ответы на письма	12	2017	5
Социальный работник	Ответы на письма	1	2018	4
Социальный работник	Ответы на письма	2	2018	5
Социальный работник	Ответы на письма	3	2018	9
Социальный работник	Ответы на письма	4	2018	5
Социальный работник	Ответы на письма	5	2018	12
Социальный работник	Ответы на письма	6	2018	
Социальный работник	Ответы на письма	7	2018	31
Невролог	Консультации по телефону	7	2017	6
Невролог	Консультации по телефону	8	2017	15
Невролог	Консультации по телефону	9	2017	18
Невролог	Консультации по телефону	10	2017	14
Невролог	Консультации по телефону	11	2017	8
Невролог	Консультации по телефону	12	2017	4
Невролог	Консультации по телефону	1	2018	17
Невролог	Консультации по телефону	2	2018	10
Невролог	Консультации по телефону	3	2018	7
Невролог	Консультации по телефону	4	2018	1
Невролог	Консультации по телефону	5	2018	14
Невролог	Консультации по телефону	6	2018	10
Невролог	Консультации по телефону	7	2018	4
Медицинские сёстры	Консультации по телефону	7	2017	11
Медицинские сёстры	Консультации по телефону	8	2017	20
Медицинские сёстры	Консультации по телефону	9	2017	17
Медицинские сёстры	Консультации по телефону	10	2017	6
Медицинские сёстры	Консультации по телефону	11	2017	17
Медицинские сёстры	Консультации по телефону	12	2017	8
Медицинские сёстры	Консультации по телефону	1	2018	32
Медицинские сёстры	Консультации по телефону	2	2018	28
Медицинские сёстры	Консультации по телефону	3	2018	27
Медицинские сёстры	Консультации по телефону	4	2018	50
Медицинские сёстры	Консультации по телефону	5	2018	64
Медицинские сёстры	Консультации по телефону	6	2018	56
Медицинские сёстры	Консультации по телефону	7	2018	46
Патронажная сестра	Консультации по телефону	7	2017	1
Патронажная сестра	Консультации по телефону	8	2017	10
Патронажная сестра	Консультации по телефону	9	2017	24
Патронажная сестра	Консультации по телефону	10	2017	11
Патронажная сестра	Консультации по телефону	11	2017	10
Патронажная сестра	Консультации по телефону	12	2017	21
Патронажная сестра	Консультации по телефону	1	2018	37
Патронажная сестра	Консультации по телефону	2	2018	26
Патронажная сестра	Консультации по телефону	3	2018	23
Патронажная сестра	Консультации по телефону	4	2018	20
Патронажная сестра	Консультации по телефону	5	2018	29
Патронажная сестра	Консультации по телефону	6	2018	33
Патронажная сестра	Консультации по телефону	7	2018	46
Специалист по респираторной поддержке	Консультации по телефону	7	2017	15
Специалист по респираторной поддержке	Консультации по телефону	8	2017	11
Специалист по респираторной поддержке	Консультации по телефону	9	2017	9
Специалист по респираторной поддержке	Консультации по телефону	10	2017	20
Специалист по респираторной поддержке	Консультации по телефону	11	2017	12
Специалист по респираторной поддержке	Консультации по телефону	12	2017	8
Специалист по респираторной поддержке	Консультации по телефону	1	2018	12
Специалист по респираторной поддержке	Консультации по телефону	2	2018	9
Специалист по респираторной поддержке	Консультации по телефону	3	2018	16
Специалист по респираторной поддержке	Консультации по телефону	4	2018	14
Специалист по респираторной поддержке	Консультации по телефону	5	2018	17
Специалист по респираторной поддержке	Консультации по телефону	6	2018	
Специалист по респираторной поддержке	Консультации по телефону	7	2018	1
Реаниматолог	Консультации по телефону	7	2017	5
Реаниматолог	Консультации по телефону	8	2017	8
Реаниматолог	Консультации по телефону	9	2017	5
Реаниматолог	Консультации по телефону	10	2017	6
Реаниматолог	Консультации по телефону	11	2017	6
Реаниматолог	Консультации по телефону	12	2017	7
Реаниматолог	Консультации по телефону	1	2018	5
Реаниматолог	Консультации по телефону	2	2018	4
Реаниматолог	Консультации по телефону	3	2018	1
Реаниматолог	Консультации по телефону	4	2018	2
Реаниматолог	Консультации по телефону	5	2018	7
Реаниматолог	Консультации по телефону	6	2018	3
Реаниматолог	Консультации по телефону	7	2018	3
Специалист по питанию	Консультации по телефону	7	2017	9
Специалист по питанию	Консультации по телефону	8	2017	19
Специалист по питанию	Консультации по телефону	9	2017	2
Специалист по питанию	Консультации по телефону	10	2017	5
Специалист по питанию	Консультации по телефону	11	2017	8
Специалист по питанию	Консультации по телефону	12	2017	13
Специалист по питанию	Консультации по телефону	1	2018	11
Специалист по питанию	Консультации по телефону	2	2018	23
Специалист по питанию	Консультации по телефону	3	2018	21
Специалист по питанию	Консультации по телефону	4	2018	25
Специалист по питанию	Консультации по телефону	5	2018	15
Специалист по питанию	Консультации по телефону	6	2018	15
Специалист по питанию	Консультации по телефону	7	2018	20
Координаторы	Консультации по телефону	7	2017	175
Координаторы	Консультации по телефону	8	2017	256
Координаторы	Консультации по телефону	9	2017	406
Координаторы	Консультации по телефону	10	2017	620
Координаторы	Консультации по телефону	11	2017	550
Координаторы	Консультации по телефону	12	2017	740
Координаторы	Консультации по телефону	1	2018	570
Координаторы	Консультации по телефону	2	2018	800
Координаторы	Консультации по телефону	3	2018	710
Координаторы	Консультации по телефону	4	2018	690
Координаторы	Консультации по телефону	5	2018	740
Координаторы	Консультации по телефону	6	2018	750
Координаторы	Консультации по телефону	7	2018	520
Социальный работник	Консультации по телефону	7	2017	
Социальный работник	Консультации по телефону	8	2017	
Социальный работник	Консультации по телефону	9	2017	9
Социальный работник	Консультации по телефону	10	2017	7
Социальный работник	Консультации по телефону	11	2017	8
Социальный работник	Консультации по телефону	12	2017	16
Социальный работник	Консультации по телефону	1	2018	5
Социальный работник	Консультации по телефону	2	2018	16
Социальный работник	Консультации по телефону	3	2018	9
Социальный работник	Консультации по телефону	4	2018	8
Социальный работник	Консультации по телефону	5	2018	19
Социальный работник	Консультации по телефону	6	2018	
Социальный работник	Консультации по телефону	7	2018	
Поликлинический приём	Количество семей	7	2017	24
Поликлинический приём	Количество семей	8	2017	
Поликлинический приём	Количество семей	9	2017	14
Поликлинический приём	Количество семей	10	2017	17
Поликлинический приём	Количество семей	11	2017	21
Поликлинический приём	Количество семей	12	2017	22
Поликлинический приём	Количество семей	1	2018	16
Поликлинический приём	Количество семей	2	2018	21
Поликлинический приём	Количество семей	3	2018	15
Поликлинический приём	Количество семей	4	2018	
Поликлинический приём	Количество семей	5	2018	11
Поликлинический приём	Количество семей	6	2018	14
Поликлинический приём	Количество семей	7	2018	15
Школа по уходу для родственников	Количество семей	7	2017	7
Школа по уходу для родственников	Количество семей	8	2017	
Школа по уходу для родственников	Количество семей	9	2017	5
Школа по уходу для родственников	Количество семей	10	2017	4
Школа по уходу для родственников	Количество семей	11	2017	9
Школа по уходу для родственников	Количество семей	12	2017	7
Школа по уходу для родственников	Количество семей	1	2018	10
Школа по уходу для родственников	Количество семей	2	2018	9
Школа по уходу для родственников	Количество семей	3	2018	16
Школа по уходу для родственников	Количество семей	4	2018	13
Школа по уходу для родственников	Количество семей	5	2018	12
Школа по уходу для родственников	Количество семей	6	2018	14
Школа по уходу для родственников	Количество семей	7	2018	11
Школа по питанию и общению	Количество семей	7	2017	6
Школа по питанию и общению	Количество семей	8	2017	7
Школа по питанию и общению	Количество семей	9	2017	3
Школа по питанию и общению	Количество семей	10	2017	4
Школа по питанию и общению	Количество семей	11	2017	2
Школа по питанию и общению	Количество семей	12	2017	1
Школа по питанию и общению	Количество семей	1	2018	
Школа по питанию и общению	Количество семей	2	2018	
Школа по питанию и общению	Количество семей	3	2018	1
Школа по питанию и общению	Количество семей	4	2018	2
Школа по питанию и общению	Количество семей	5	2018	
Школа по питанию и общению	Количество семей	6	2018	
Школа по питанию и общению	Количество семей	7	2018	
Амбулаторный приём	Количество семей	7	2017	11
Амбулаторный приём	Количество семей	8	2017	6
Амбулаторный приём	Количество семей	9	2017	7
Амбулаторный приём	Количество семей	10	2017	9
Амбулаторный приём	Количество семей	11	2017	11
Амбулаторный приём	Количество семей	12	2017	16
Амбулаторный приём	Количество семей	1	2018	2
Амбулаторный приём	Количество семей	2	2018	12
Амбулаторный приём	Количество семей	3	2018	9
Амбулаторный приём	Количество семей	4	2018	20
Амбулаторный приём	Количество семей	5	2018	13
Амбулаторный приём	Количество семей	6	2018	7
Амбулаторный приём	Количество семей	7	2018	9
Встреча по ресурсам	Количество семей	7	2017	10
Встреча по ресурсам	Количество семей	8	2017	4
Встреча по ресурсам	Количество семей	9	2017	2
Встреча по ресурсам	Количество семей	10	2017	6
Встреча по ресурсам	Количество семей	11	2017	6
Встреча по ресурсам	Количество семей	12	2017	5
Встреча по ресурсам	Количество семей	1	2018	2
Встреча по ресурсам	Количество семей	2	2018	5
Встреча по ресурсам	Количество семей	3	2018	5
Встреча по ресурсам	Количество семей	4	2018	7
Встреча по ресурсам	Количество семей	5	2018	4
Встреча по ресурсам	Количество семей	6	2018	6
Встреча по ресурсам	Количество семей	7	2018	7
Группа по утрате	Количество семей	7	2017	1
Группа по утрате	Количество семей	8	2017	
Группа по утрате	Количество семей	9	2017	4
Группа по утрате	Количество семей	10	2017	4
Группа по утрате	Количество семей	11	2017	3
Группа по утрате	Количество семей	12	2017	3
Группа по утрате	Количество семей	1	2018	
Группа по утрате	Количество семей	2	2018	10
Группа по утрате	Количество семей	3	2018	6
Группа по утрате	Количество семей	4	2018	3
Группа по утрате	Количество семей	5	2018	3
Группа по утрате	Количество семей	6	2018	4
Группа по утрате	Количество семей	7	2018	
Встреча со священником	Количество семей	7	2017	
Встреча со священником	Количество семей	8	2017	
Встреча со священником	Количество семей	9	2017	
Встреча со священником	Количество семей	10	2017	10
Встреча со священником	Количество семей	11	2017	9
Встреча со священником	Количество семей	12	2017	5
Встреча со священником	Количество семей	1	2018	13
Встреча со священником	Количество семей	2	2018	10
Встреча со священником	Количество семей	3	2018	
Встреча со священником	Количество семей	4	2018	11
Встреча со священником	Количество семей	5	2018	
Встреча со священником	Количество семей	6	2018	14
Встреча со священником	Количество семей	7	2018	
Невролог	Консультации в Службе	7	2017	14
Невролог	Консультации в Службе	8	2017	10
Невролог	Консультации в Службе	9	2017	15
Невролог	Консультации в Службе	10	2017	12
Невролог	Консультации в Службе	11	2017	22
Невролог	Консультации в Службе	12	2017	21
Невролог	Консультации в Службе	1	2018	12
Невролог	Консультации в Службе	2	2018	16
Невролог	Консультации в Службе	3	2018	13
Невролог	Консультации в Службе	4	2018	
Невролог	Консультации в Службе	5	2018	10
Невролог	Консультации в Службе	6	2018	6
Невролог	Консультации в Службе	7	2018	13
Специалист по респираторной поддержке	Консультации в Службе	7	2017	8
Специалист по респираторной поддержке	Консультации в Службе	8	2017	
Специалист по респираторной поддержке	Консультации в Службе	9	2017	11
Специалист по респираторной поддержке	Консультации в Службе	10	2017	6
Специалист по респираторной поддержке	Консультации в Службе	11	2017	15
Специалист по респираторной поддержке	Консультации в Службе	12	2017	15
Специалист по респираторной поддержке	Консультации в Службе	1	2018	10
Специалист по респираторной поддержке	Консультации в Службе	2	2018	6
Специалист по респираторной поддержке	Консультации в Службе	3	2018	6
Специалист по респираторной поддержке	Консультации в Службе	4	2018	
Специалист по респираторной поддержке	Консультации в Службе	5	2018	4
Специалист по респираторной поддержке	Консультации в Службе	6	2018	3
Специалист по респираторной поддержке	Консультации в Службе	7	2018	
Реаниматолог	Консультации в Службе	7	2017	
Реаниматолог	Консультации в Службе	8	2017	2
Реаниматолог	Консультации в Службе	9	2017	
Реаниматолог	Консультации в Службе	10	2017	
Реаниматолог	Консультации в Службе	11	2017	
Реаниматолог	Консультации в Службе	12	2017	
Реаниматолог	Консультации в Службе	1	2018	
Реаниматолог	Консультации в Службе	2	2018	
Реаниматолог	Консультации в Службе	3	2018	
Реаниматолог	Консультации в Службе	4	2018	
Реаниматолог	Консультации в Службе	5	2018	
Реаниматолог	Консультации в Службе	6	2018	
Реаниматолог	Консультации в Службе	7	2018	
Физические терапевты	Консультации в Службе	7	2017	
Физические терапевты	Консультации в Службе	8	2017	4
Физические терапевты	Консультации в Службе	9	2017	13
Физические терапевты	Консультации в Службе	10	2017	12
Физические терапевты	Консультации в Службе	11	2017	15
Физические терапевты	Консультации в Службе	12	2017	14
Физические терапевты	Консультации в Службе	1	2018	13
Физические терапевты	Консультации в Службе	2	2018	16
Физические терапевты	Консультации в Службе	3	2018	12
Физические терапевты	Консультации в Службе	4	2018	
Физические терапевты	Консультации в Службе	5	2018	6
Физические терапевты	Консультации в Службе	6	2018	7
Физические терапевты	Консультации в Службе	7	2018	9
Медицинские сёстры	Консультации в Службе	7	2017	10
Медицинские сёстры	Консультации в Службе	8	2017	6
Медицинские сёстры	Консультации в Службе	9	2017	18
Медицинские сёстры	Консультации в Службе	10	2017	12
Медицинские сёстры	Консультации в Службе	11	2017	12
Медицинские сёстры	Консультации в Службе	12	2017	15
Медицинские сёстры	Консультации в Службе	1	2018	8
Медицинские сёстры	Консультации в Службе	2	2018	11
Медицинские сёстры	Консультации в Службе	3	2018	8
Медицинские сёстры	Консультации в Службе	4	2018	
Медицинские сёстры	Консультации в Службе	5	2018	9
Медицинские сёстры	Консультации в Службе	6	2018	4
Медицинские сёстры	Консультации в Службе	7	2018	12
Патронажная сестра	Консультации в Службе	7	2017	9
Патронажная сестра	Консультации в Службе	8	2017	
Патронажная сестра	Консультации в Службе	9	2017	
Патронажная сестра	Консультации в Службе	10	2017	7
Патронажная сестра	Консультации в Службе	11	2017	
Патронажная сестра	Консультации в Службе	12	2017	
Патронажная сестра	Консультации в Службе	1	2018	
Патронажная сестра	Консультации в Службе	2	2018	
Патронажная сестра	Консультации в Службе	3	2018	
Патронажная сестра	Консультации в Службе	4	2018	
Патронажная сестра	Консультации в Службе	5	2018	8
Патронажная сестра	Консультации в Службе	6	2018	11
Патронажная сестра	Консультации в Службе	7	2018	13
Координаторы	Консультации в Службе	7	2017	26
Координаторы	Консультации в Службе	8	2017	26
Координаторы	Консультации в Службе	9	2017	18
Координаторы	Консультации в Службе	10	2017	24
Координаторы	Консультации в Службе	11	2017	32
Координаторы	Консультации в Службе	12	2017	26
Координаторы	Консультации в Службе	1	2018	17
Координаторы	Консультации в Службе	2	2018	20
Координаторы	Консультации в Службе	3	2018	44
Координаторы	Консультации в Службе	4	2018	57
Координаторы	Консультации в Службе	5	2018	36
Координаторы	Консультации в Службе	6	2018	30
Координаторы	Консультации в Службе	7	2018	26
Социальный работник	Консультации в Службе	7	2017	
Социальный работник	Консультации в Службе	8	2017	
Социальный работник	Консультации в Службе	9	2017	11
Социальный работник	Консультации в Службе	10	2017	12
Социальный работник	Консультации в Службе	11	2017	12
Социальный работник	Консультации в Службе	12	2017	11
Социальный работник	Консультации в Службе	1	2018	9
Социальный работник	Консультации в Службе	2	2018	11
Социальный работник	Консультации в Службе	3	2018	11
Социальный работник	Консультации в Службе	4	2018	4
Социальный работник	Консультации в Службе	5	2018	8
Социальный работник	Консультации в Службе	6	2018	
Социальный работник	Консультации в Службе	7	2018	
Специлист по питанию	Консультации в Службе	7	2017	4
Специлист по питанию	Консультации в Службе	8	2017	4
Специлист по питанию	Консультации в Службе	9	2017	5
Специлист по питанию	Консультации в Службе	10	2017	2
Специлист по питанию	Консультации в Службе	11	2017	4
Специлист по питанию	Консультации в Службе	12	2017	10
Специлист по питанию	Консультации в Службе	1	2018	7
Специлист по питанию	Консультации в Службе	2	2018	
Специлист по питанию	Консультации в Службе	3	2018	5
Специлист по питанию	Консультации в Службе	4	2018	
Специлист по питанию	Консультации в Службе	5	2018	4
Специлист по питанию	Консультации в Службе	6	2018	
Специлист по питанию	Консультации в Службе	7	2018	4
Психолог	Консультации в Службе	7	2017	
Психолог	Консультации в Службе	8	2017	
Психолог	Консультации в Службе	9	2017	
Психолог	Консультации в Службе	10	2017	
Психолог	Консультации в Службе	11	2017	
Психолог	Консультации в Службе	12	2017	
Психолог	Консультации в Службе	1	2018	
Психолог	Консультации в Службе	2	2018	
Психолог	Консультации в Службе	3	2018	4
Психолог	Консультации в Службе	4	2018	
Психолог	Консультации в Службе	5	2018	
Психолог	Консультации в Службе	6	2018	
Психолог	Консультации в Службе	7	2018	6
Логопед	Консультации в Службе	7	2017	
Логопед	Консультации в Службе	8	2017	
Логопед	Консультации в Службе	9	2017	
Логопед	Консультации в Службе	10	2017	
Логопед	Консультации в Службе	11	2017	
Логопед	Консультации в Службе	12	2017	
Логопед	Консультации в Службе	1	2018	
Логопед	Консультации в Службе	2	2018	
Логопед	Консультации в Службе	3	2018	
Логопед	Консультации в Службе	4	2018	
Логопед	Консультации в Службе	5	2018	
Логопед	Консультации в Службе	6	2018	
Логопед	Консультации в Службе	7	2018	6
Священник	Консультации в Службе	7	2017	
Священник	Консультации в Службе	8	2017	
Священник	Консультации в Службе	9	2017	3
Священник	Консультации в Службе	10	2017	2
Священник	Консультации в Службе	11	2017	2
Священник	Консультации в Службе	12	2017	3
Священник	Консультации в Службе	1	2018	
Священник	Консультации в Службе	2	2018	2
Священник	Консультации в Службе	3	2018	2
Священник	Консультации в Службе	4	2018	
Священник	Консультации в Службе	5	2018	3
Священник	Консультации в Службе	6	2018	
Священник	Консультации в Службе	7	2018	
